Freq.	V(out)
3.89045144994278e+002	(1.64105210276768e+001dB,-5.42161751806627e+000°)
3.98107170553494e+002	(1.68250934114558e+001dB,-6.68576745117188e+000°)
4.07380277804110e+002	(1.72359515421370e+001dB,-7.95804519057130e+000°)
4.16869383470332e+002	(1.76430784044336e+001dB,-9.23815800578282e+000°)
4.26579518801589e+002	(1.80464579033502e+001dB,-1.05258152039543e+001°)
4.36515832240163e+002	(1.84460748282033e+001dB,-1.18207280642554e+001°)
4.46683592150960e+002	(1.88419148209595e+001dB,-1.31226097527295e+001°)
4.57088189614872e+002	(1.92339643493361e+001dB,-1.44311752195235e+001°)
4.67735141287195e+002	(1.96222106844592e+001dB,-1.57461410863896e+001°)
4.78630092322635e+002	(2.00066418837592e+001dB,-1.70672255266804e+001°)
4.89778819368443e+002	(2.03872467784836e+001dB,-1.83941481435056e+001°)
5.01187233627268e+002	(2.07640149660477e+001dB,-1.97266298508620e+001°)
5.12861383991361e+002	(2.11369368071302e+001dB,-2.10643927629907e+001°)
5.24807460249769e+002	(2.15060034267471e+001dB,-2.24071600942647e+001°)
5.37031796370249e+002	(2.18712067193401e+001dB,-2.37546560749304e+001°)
5.49540873857620e+002	(2.22325393573854e+001dB,-2.51066058878303e+001°)
5.62341325190345e+002	(2.25899948026917e+001dB,-2.64627356243985e+001°)
5.75439937337152e+002	(2.29435673200814e+001dB,-2.78227722684339e+001°)
5.88843655355584e+002	(2.32932519928751e+001dB,-2.91864437052971e+001°)
6.02559586074353e+002	(2.36390447391243e+001dB,-3.05534787600479e+001°)
6.16595001861477e+002	(2.39809423282140e+001dB,-3.19236072638595e+001°)
6.30957344480188e+002	(2.43189423972526e+001dB,-3.32965601508303e+001°)
6.45654229034650e+002	(2.46530434660437e+001dB,-3.46720695825217e+001°)
6.60693448007591e+002	(2.49832449504568e+001dB,-3.60498691007010e+001°)
6.76082975391976e+002	(2.53095471733710e+001dB,-3.74296938055510e+001°)
6.91830970918931e+002	(2.56319513723890e+001dB,-3.88112805570403e+001°)
7.07945784384132e+002	(2.59504597039991e+001dB,-4.01943681966378e+001°)
7.24435960074984e+002	(2.62650752437665e+001dB,-4.15786977871118e+001°)
7.41310241300911e+002	(2.65758019816774e+001dB,-4.29640128634876e+001°)
7.58577575029177e+002	(2.68826448129407e+001dB,-4.43500596947053e+001°)
7.76247116628685e+002	(2.71856095233791e+001dB,-4.57365875486050e+001°)
7.94328234724275e+002	(2.74847027697224e+001dB,-4.71233489563826e+001°)
8.12830516164092e+002	(2.77799320544979e+001dB,-4.85100999726172e+001°)
8.31763771102664e+002	(2.80713056955186e+001dB,-4.98966004239273e+001°)
8.51138038202369e+002	(2.83588327905482e+001dB,-5.12826141437849e+001°)
8.70963589956073e+002	(2.86425231766768e+001dB,-5.26679091864171e+001°)
8.91250938133738e+002	(2.89223873852810e+001dB,-5.40522580166352e+001°)
9.12010839355902e+002	(2.91984365930559e+001dB,-5.54354376722854e+001°)
9.33254300796983e+002	(2.94706825689724e+001dB,-5.68172298919082e+001°)
9.54992586021428e+002	(2.97391376185593e+001dB,-5.81974212089434e+001°)
9.77237220955802e+002	(3.00038145256428e+001dB,-5.95758030061526e+001°)
9.99999999999991e+002	(3.02647264924282e+001dB,-6.09521715286022e+001°)
1.02329299228075e+003	(3.05218870786033e+001dB,-6.23263278544344e+001°)
1.04712854805089e+003	(3.07753101402691e+001dB,-6.36980778211506e+001°)
1.07151930523760e+003	(3.10250097696770e+001dB,-6.50672319075831e+001°)
1.09647819614318e+003	(3.12710002362353e+001dB,-6.64336050714469e+001°)
1.12201845430195e+003	(3.15132959299067e+001dB,-6.77970165424303e+001°)
1.14815362149687e+003	(3.17519113076776e+001dB,-6.91572895741356e+001°)
1.17489755493952e+003	(3.19868608439414e+001dB,-7.05142511557267e+001°)
1.20226443461740e+003	(3.22181589853110e+001dB,-7.18677316850991e+001°)
1.23026877081237e+003	(3.24458201108776e+001dB,-7.32175646089167e+001°)
1.25892541179416e+003	(3.26698584982729e+001dB,-7.45635860313109e+001°)
1.28824955169312e+003	(3.28902882962493e+001dB,-7.59056342971107e+001°)
1.31825673855640e+003	(3.31071235042639e+001dB,-7.72435495529204e+001°)
1.34896288259164e+003	(3.33203779593131e+001dB,-7.85771732920992e+001°)
1.38038426460287e+003	(3.35300653304831e+001dB,-7.99063478878584e+001°)
